 5852 0 0 0 0 0 0 0
   0.2500E+00  0.6531E+03  0.1550E+04  0.3294E+04  0.4097E+01  0.8705E+01  0.4995E+02  0.5509E-01
   0.5000E+00  0.5959E+03  0.1299E+04  0.2590E+04  0.3794E+01  0.7565E+01  0.7769E+02  0.1102E+00
   0.7500E+00  0.5246E+03  0.1076E+04  0.1908E+04  0.3595E+01  0.6375E+01  0.1032E+03  0.1653E+00
   0.1000E+01  0.4511E+03  0.8588E+03  0.1373E+04  0.3359E+01  0.5369E+01  0.1184E+03  0.2204E+00
   0.1250E+01  0.3842E+03  0.6996E+03  0.1113E+04  0.3230E+01  0.5137E+01  0.1232E+03  0.2755E+00
   0.1500E+01  0.3275E+03  0.6097E+03  0.1036E+04  0.3318E+01  0.5640E+01  0.1237E+03  0.3306E+00
   0.1750E+01  0.2812E+03  0.5634E+03  0.1010E+04  0.3585E+01  0.6430E+01  0.1255E+03  0.3857E+00
   0.2000E+01  0.2445E+03  0.5333E+03  0.9714E+03  0.3916E+01  0.7133E+01  0.1303E+03  0.4407E+00
   0.2250E+01  0.2163E+03  0.5050E+03  0.9091E+03  0.4204E+01  0.7569E+01  0.1376E+03  0.4958E+00
   0.2500E+01  0.1947E+03  0.4709E+03  0.8077E+03  0.4365E+01  0.7486E+01  0.1466E+03  0.5509E+00
   0.2750E+01  0.1781E+03  0.4260E+03  0.6528E+03  0.4326E+01  0.6629E+01  0.1557E+03  0.6060E+00
   0.3000E+01  0.1649E+03  0.3724E+03  0.4917E+03  0.4090E+01  0.5399E+01  0.1617E+03  0.6611E+00
   0.3250E+01  0.1539E+03  0.3222E+03  0.3960E+03  0.3795E+01  0.4664E+01  0.1626E+03  0.7162E+00
   0.3500E+01  0.1440E+03  0.2859E+03  0.3719E+03  0.3602E+01  0.4685E+01  0.1600E+03  0.7713E+00
   0.3750E+01  0.1347E+03  0.2629E+03  0.3705E+03  0.3542E+01  0.4993E+01  0.1571E+03  0.8264E+00
   0.4000E+01  0.1260E+03  0.2467E+03  0.3616E+03  0.3555E+01  0.5211E+01  0.1550E+03  0.8815E+00
   0.4250E+01  0.1178E+03  0.2333E+03  0.3479E+03  0.3597E+01  0.5363E+01  0.1535E+03  0.9366E+00
   0.4500E+01  0.1098E+03  0.2220E+03  0.3373E+03  0.3673E+01  0.5580E+01  0.1519E+03  0.9917E+00
   0.4750E+01  0.1020E+03  0.2129E+03  0.3322E+03  0.3793E+01  0.5918E+01  0.1502E+03  0.1047E+01
   0.5000E+01  0.9472E+02  0.2060E+03  0.3315E+03  0.3950E+01  0.6355E+01  0.1486E+03  0.1102E+01
