  0.25  21.5051823
  0.5  32.7921066
  0.75  43.8855896
  1.  50.9644928
  1.25  53.3142128
  1.5  53.9695892
  1.75  56.0434685
  2.  59.7260132
  2.25  63.1559067
  2.5  65.3551254
  2.75  67.6967163
  3.  71.9797821
  3.25  77.5287018
  3.5  81.5690155
  3.75  82.2179489
  4.  80.1210403
  4.25  77.6129379
  4.5  76.7676697
  4.75  77.8157349
  5.  79.0927277
  5.25  78.7264175
  5.5  76.4476776
  5.75  73.6164398
  6.  71.8747177
  6.25  72.0989838
  6.5  74.1311951
  6.75  77.1609039
  7.  80.4561386
  7.25  83.7197113
  7.5  86.9297867
  7.75  90.1195984
  8.  93.311554
  8.25  96.5379257
  8.5  99.8902817
  8.75  103.531586
  9.  107.403221
  9.25  110.645439
  9.5  112.072136
  9.96520424  100.322411
  10.2152042  100.322411
  10.4652042  100.322411
  10.7152042  100.322411
  10.9652042  100.322411
  11.2152042  100.322411
  11.4652042  100.322411
  11.7152042  100.322411
  11.9652042  100.322411
  12.2152042  100.322411
  12.4652042  100.322411
  12.7152042  100.322411
  12.9652042  100.322411
  13.2152042  100.322411
  13.4652042  100.322411
  13.7152042  100.322411
  13.9652042  100.322411
  14.2152042  100.322411
  14.4652042  100.322411
  14.7152042  100.322411
  14.9652042  100.322411
  15.2152042  100.322411
  15.4652042  100.322411
  15.7152042  100.322411
  15.9652042  100.322411
  16.2152042  100.322411
  16.4652042  100.322411
  16.7152042  100.322411
  16.9652042  100.322411
  17.2152042  100.322411
  17.4652042  100.322411
  17.7152042  100.322411
  17.9652042  100.322411
  18.2152042  100.322411
  18.4652042  100.322411
  18.7152042  100.322411
  18.9652042  100.322411
  19.2152042  100.322411
  19.4652042  100.322411
  19.7152042  100.322411
  19.9652042  100.322411
  20.2152042  100.322411
  20.4652042  100.322411
  20.7152042  100.322411
  20.9652042  100.322411
  21.2152042  100.322411
  21.4652042  100.322411
  21.7152042  100.322411
  21.9652042  100.322411
  22.2152042  100.322411
  22.4652042  100.322411
  22.7152042  100.322411
  22.9652042  100.322411
  23.2152042  100.322411
  23.4652042  100.322411
  23.7152042  100.322411
  23.9652042  100.322411
  24.2152042  100.322411
  24.4652042  100.322411
  24.7152042  100.322411
  24.9652042  100.322411
  25.2152042  100.322411
  25.4652042  100.322411
  25.7152042  100.322411
  25.9652042  100.322411
  26.2152042  100.322411
  26.4652042  100.322411
  26.7152042  100.322411
  26.9652042  100.322411
  27.2152042  100.322411
  27.4652042  100.322411
  27.7152042  100.322411
  27.9652042  100.322411
  28.2152042  100.322411
  28.4652042  100.322411
  28.7152042  100.322411
  28.9652042  100.322411
  29.2152042  100.322411
  29.4652042  100.322411
  29.7152042  100.322411
